Machine,Sub_Machine,.,Task_Description,Task_Code,Estimated_mins,Crew,Period_freq,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W13,W14,W15,W16,W17,W18,W19,W20,W21,W22,W23,W24,W25,W26,W27,W28,W29,W30,W31,W32,W33,W34,W35,W36,W37,W38,W39,W40,W41,W42,W43,W44,W45,W46,W47,W48,W49,W50,W51,W52
C4 Mechanical,بقية الخط,24,تغيير كتاين رولات ما بعد حوض التبريد السفلى,490,60,2,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
C4 Mechanical,بقية الخط,25,ضبط حركة سير السكينة,300,60,2,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Mechanical,بقية الخط,26,تغيير كتاين رولات ما بعد السكينة,490,60,2,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
C4 Mechanical,بقية الخط,27,ضبط قطع السكينة,380,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Mechanical,بقية الخط,28,تغيير سكينتى (الروتارى و الكونتر),390,180,2,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
C4 Mechanical,بقية الخط,29,التأكد من خلوص اسكرو 120,580,480,6,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
C4 Mechanical,بقية الخط,30,تغيير اسكرو 120,590,480,6,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Mechanical,بقية الخط,31,التأكد من خلوص اسكرو 150,580,480,6,26,,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,x,
C4 Mechanical,بقية الخط,32,تغيير اسكرو 150,590,480,6,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,"سير تغذية اكسترودر 6""",1,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,"سير تغذية اكسترودر 6""",2,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,خط انتاج السيدوول,3,زيت الهواء,610,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
C4 Lubrication,خط انتاج السيدوول,4,تنظيف,600,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
C4 Lubrication,خط انتاج السيدوول,5,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,منطقة الاكسترودر,6,زيت الهواء,610,30,1,8,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,,,,,,x,,,
C4 Lubrication,منطقة الاكسترودر,7,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,منطقة الاكسترودر,8,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,وحدة هيدروليك الاكسترودر,9,تنظيف,600,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
C4 Lubrication,وحدة هيدروليك الاكسترودر,10,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,وحدة تزييت الفيدرول,11,تنظيف,600,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
C4 Lubrication,وحدة تزييت الفيدرول,12,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,سير الماستر,13,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,سير الماستر,14,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,سير الاسترب,15,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,سير الاسترب,16,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,السير الرافع,17,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,السير الرافع,18,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,احواض التبريد,19,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,احواض التبريد,20,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,سير الرولات 1,21,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,سير الرولات 1,22,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,سكينة قطع السيدوول,23,تشحيم,630,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
C4 Lubrication,سكينة قطع السيدوول,24,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,وحدة هيدروليك السكينة,25,تنظيف,600,60,1,1,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
C4 Lubrication,وحدة هيدروليك السكينة,26,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,سير الرولات 2,27,تزييت,630,90,1,52,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C4 Lubrication,سير الرولات 2,28,تشحيم,620,60,1,13,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,,,,,,,,,,x,,,
